hidden0,hidden1,hidden2,hidden3,hidden4,hidden5,hidden6,hidden7,hidden8,hidden9,hidden10
0.000000000000000000e+00,1.050774076858876915e+00,8.964566536665694585e-01,9.204478321937189511e-01,9.801517822911058886e-01,8.634126534873406422e-01,9.042187683892237704e-01,9.742188067256730699e-01,7.359659564216118888e-01,9.365972843013112836e-01,8.308515934006853731e-01
2.236253750008005692e-01,-7.566521101238037339e-01,-7.050528191429423774e-01,-7.288333970264720962e-01,-6.911055465424101873e-01,-6.882206823584092747e-01,-7.399502951122316485e-01,-7.473990130464458481e-01,-6.805861647791195956e-01,-6.731784436480983125e-01,-6.747035318330115716e-01
1.583169293404443234e+00,-7.997628073177671659e-01,-7.435732199750805238e-01,-7.245582536862880119e-01,-7.443210053941148319e-01,-7.503893357235682515e-01,-7.481842115666317294e-01,-7.587157310391251519e-01,-7.566193852631583061e-01,-7.139112844683407344e-01,-6.887279190316054622e-01
3.406732802593847032e-01,-7.027184888795835471e-01,-6.653962335356398139e-01,-7.263332375344278002e-01,-6.986802921767398811e-01,-6.289210918758930680e-01,-6.625812586108468238e-01,-6.942153710328279326e-01,-6.363626090445961836e-01,-6.996995338938117870e-01,-6.669856141356621526e-01
6.408294656806825529e-01,-6.165060804777854342e-01,-6.482138072517850125e-01,-6.099799050504305375e-01,-6.901715023536717508e-01,-6.164281399196913647e-01,-6.213763441120333519e-01,-6.790314678410346305e-01,-5.793016393472637526e-01,-6.491337117190502104e-01,-5.910427237398947486e-01
9.492502145020623727e-01,-7.386544129470614672e-01,-6.981108236122685051e-01,-7.131004230370233676e-01,-6.597985248254978341e-01,-6.473163795845204849e-01,-6.689530881668125373e-01,-7.231231915792829534e-01,-6.299972320513927970e-01,-6.805038608028217695e-01,-6.549737463464696541e-01
1.138910285444566517e+00,-7.747056845906157285e-01,-6.940565745650492113e-01,-7.012510492411837548e-01,-7.763048517876149912e-01,-6.887792586960694852e-01,-6.646743161724143478e-01,-6.857654439582558936e-01,-6.254329323180083389e-01,-6.587115493268664856e-01,-6.643798220381257336e-01
1.550085528096257326e+00,-8.331677287548111543e-01,-7.521286679695073918e-01,-7.671225014728303426e-01,-8.239635539477750958e-01,-7.695439081485064836e-01,-8.299171495831417777e-01,-7.860109663657622869e-01,-6.692703875635268584e-01,-8.035482298926761580e-01,-7.938136933104399384e-01
3.071720705100934312e-01,-5.570152462984656605e-01,-5.743792029458549830e-01,-5.921254340286059570e-01,-6.295535873169022523e-01,-6.170759910754932687e-01,-5.318407796399259313e-01,-5.968841573293910407e-01,-5.813280726300839030e-01,-6.458786104244989001e-01,-6.043876747933646376e-01
3.362510231384637227e-01,-7.106827070096427557e-01,-6.766590219993946498e-01,-6.426827090223519168e-01,-6.829581604706737030e-01,-6.620035869197700151e-01,-7.339939930665465573e-01,-6.667299838216423913e-01,-6.375215207877983348e-01,-6.716365316855384959e-01,-6.915248847907692342e-01
-1.146740844193841341e-01,-5.806895409373303840e-01,-5.421125775649058287e-01,-5.497365251136512310e-01,-4.981919096213208720e-01,-5.553425828320034396e-01,-5.429267293508427406e-01,-5.454772274514291253e-01,-5.224799927044235792e-01,-6.026110103496673531e-01,-5.328138341590905602e-01
